id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type,url
36124,"Honda CBR 250R Standard","Thane ",14000,Tri(blueWhiteRed),Petrol,110000,2012,FirstOwner,,
36125,"Bajaj Pulsar 180cc Dtsi","Thane ",40000,BlueRepained,Petrol,21999,2008,FirstOwner,,
36126,"Bajaj Pulsar 150cc Dtsi","Pune ",64000,Black,Petrol,34999,2011,FirstOwner,,
36127,"Bajaj Pulsar 150cc Dtsi","Pune ",50000,Black,Petrol,22000,2006,SecondOwner,,
36128,"Yamaha Gladiator Ss","Thane ",60000,Red,Petrol,19000,2008,SecondOwner,,
36129,"Bajaj Pulsar 150cc Dtsi","Pune ",50000,Blue,Petrol,11999,2006,FirstOwner,,
36130,"Bajaj Pulsar 150cc Dtsi","Pune ",15000,Black,Petrol,25000,2005,SecondOwner,,
36131,"Kawasaki Er 6n 650","Pelling ",20000,Black,Petrol,100000,2015,FirstOwner,,
36132,"Bajaj Pulsar 220F Dtsi","Pune ",40000,Red,Petrol,45000,2013,FirstOwner,,
36133,"Honda Shine Self Disc Alloy","Pune ",58000,Black,Petrol,29000,2007,SecondOwner,,
36134,"Hero Honda Cbz Xtreme Self Start","Pune ",70000,Red,Petrol,34999,2008,SecondOwner,,
36135,"Honda Shine Self Disc Alloy","Pune ",34300,Black,Petrol,44000,2012,FirstOwner,,
36136,"Honda CB Unicorn 160 Standard","Pune ",47000,Black,Petrol,50000,2012,FirstOwner,,
36137,"Honda Unicorn Alloy","Pune ",50000,DarkCream,Petrol,21999,2006,SecondOwner,,
36138,"Royal Enfield Bullet 350","Pune ",40000,Black,Petrol,90000,1999,SecondOwner,,
36139,"Royal Enfield Bullet Electra","Pune ",21000,BolttleGreen,Petrol,94500,2012,FirstOwner,,
36140,"Royal Enfield Bullet Electra Twinspark","Pune ",18000,Black,Petrol,99999,2008,FirstOwner,,
36141,"Royal Enfield Bullet 350","Pune ",60000,Mahroon,Petrol,91000,1989,SecondOwner,,
36142,"TVS Star City Alloy","Pune ",17700,YelloowAndBlack,Petrol,17000,2006,SecondOwner,,
36143,"Yamaha Sz R","Pune ",20000,Red,Petrol,35000,2013,FirstOwner,,
36144,"Yamaha SZ RR","Pune ",38000,Black,Petrol,37999,2011,SecondOwner,,
36145,"Suzuki Gs150r","Thane ",50000,Blue,Petrol,22000,2010,SecondOwner,,
36146,"Honda CBR 250R Standard","Thane ",10000,Black,Petrol,150000,2014,FirstOwner,,
36147,"Bajaj Pulsar 150cc Dtsi","Jaipur ",50000,Black,Petrol,37999,2012,FirstOwner,,
36148,"Yamaha RXZ STD","Thane ",58000,Blue,Petrol,32000,1997,SecondOwner,,
36149,"Bajaj Avenger 220","Jaipur ",40000,Red,Petrol,30000,2005,SecondOwner,,
36150,"Bajaj Pulsar 180cc Dtsi","Jaipur ",27400,Green,Petrol,29000,2009,SecondOwner,,
36151,"Bajaj Pulsar 180cc Dtsi","Jaipur ",25000,Black,Petrol,41000,2011,FirstOwner,,
36152,"Bajaj Pulsar 150cc Dtsi","Jaipur ",80000,Black,Petrol,14000,2004,FirstOwner,,
36153,"Bajaj Pulsar 150cc Dtsi","Jaipur ",33000,NightBlack,Petrol,27999,2009,SecondOwner,,
36154,"Bajaj Caliber 115","Jaipur ",61694,GreenAndBlack,Petrol,8000,2000,SecondOwner,,
36155,"Hero Honda Cd Deluxe","Jaipur ",49000,BlackAndRed,Petrol,24999,2007,FirstOwner,,
36156,"Hero Honda Passion Pro","Surat ",5500,BlackAndRed,Petrol,18000,2002,SecondOwner,,
36157,"Honda Stunner CBF Self Disc Alloy","Jaipur ",17000,Grey,Petrol,34000,2010,FirstOwner,,
36158,"Honda Unicorn Alloy","Jaipur ",39000,Black,Petrol,20000,2005,FirstOwner,,
36159,"Royal Enfield Classic 350","Sikar ",5000,AshWhite,Petrol,140000,2014,FirstOwner,,
36160,"TVS Star City Alloy","Jodhpur ",2800,Black,Petrol,39999,2014,SecondOwner,,
36161,"Bajaj Pulsar 150cc Dtsi","Chennai ",25000,Black,Petrol,8000,2005,SecondOwner,,
36162,"Bajaj Pulsar 150cc Dtsi","Tiruvallur ",15000,Black,Petrol,48000,2013,FirstOwner,,
36163,"Bajaj Discover 100","Tiruvallur ",7000,BlackAndRed,Petrol,25000,2011,FirstOwner,,
36164,"Bajaj Pulsar 180cc Dtsi","Chennai ",57000,Black,Petrol,19000,2008,SecondOwner,,
36165,"Bajaj Pulsar 150cc Dtsi","Kanchipuram ",18000,Black,Petrol,15000,2006,SecondOwner,,
36166,"Bajaj Discover 125 STD","Chennai ",35000,BlackAndRed,Petrol,13000,2008,FirstOwner,,
36167,"Bajaj Discover 100 M Disc","Chennai ",15000,Blue,Petrol,35000,2013,FirstOwner,,
36168,"Bajaj Discover 125 M Disc","Chennai ",30000,BlackAndRed,Petrol,27000,2011,FirstOwner,,
36169,"Bajaj Pulsar 150cc Dtsi","Kanchipuram ",70000,Black,Petrol,13000,2005,FirstOwner,,
36170,"Bajaj Pulsar 135","Patna ",33000,Black,Petrol,32000,2011,FirstOwner,,
36171,"Bajaj Discover 100","Chennai ",36500,BlackAndBlue,Petrol,24000,2012,FirstOwner,,
36172,"Bajaj Discover 125 STD","Patna ",60000,PurpleAndBlack,Petrol,21500,2006,FirstOwner,,
36173,"Bajaj Pulsar 150cc Dtsi","Patna ",34000,BlackAndRed,Petrol,34999,2011,FirstOwner,,
36174,"Bajaj Pulsar 150cc Dtsi","Bhavnagar ",32000,Black,Petrol,30000,2009,SecondOwner,,
36175,"Hero Honda Cbz Xtreme Self Start","Patna ",35000,BlackAndRed,Petrol,27999,2010,SecondOwner,,
36176,"Bajaj Discover 125 M Disc","Patna ",22332,BlackAndRed,Petrol,34999,2012,FirstOwner,,
36177,"Hero Honda Splendor Nxg","Patna ",35000,Red,Petrol,25000,2009,FirstOwner,,
36178,"Hero Honda Cd Deluxe","Sagar ",12000,Red,Petrol,35000,2013,FirstOwner,,
36179,"Bajaj Discover 125 STD","Patna ",31000,Blue,Petrol,29500,2009,SecondOwner,,
36180,"Hero Honda Passion Plus","Patna ",32000,Red,Petrol,12000,2003,ThirdOwner,,
36181,"Hero Honda Karizma Zmr Pgm Fi","Patna ",14620,White,Petrol,68000,2010,FirstOwner,,
36182,"Suzuki Fiero STD","Patna ",25000,Blue,Petrol,13000,2007,ThirdOwner,,
36183,"LML Freedom DX","Patna ",41350,Silver,Petrol,19500,2010,FirstOwner,,
36184,"Yamaha YZF R15 Version 2.0","Patna ",9000,WhiteAndBlue,Petrol,81000,2014,FirstOwner,,
36185,"Yamaha SZ RR","Patna ",29000,White,Petrol,37999,2012,SecondOwner,,
36186,"Bajaj Pulsar 135","Chandigarh ",21000,Black,Petrol,41000,2011,FirstOwner,,
36187,"Bajaj Platina 100 Alloy Wheel KS","Chandigarh ",40000,BlackAndMaroon,Petrol,18000,2009,SecondOwner,,
36188,"Bajaj Pulsar 180cc Dtsi","Chandigarh ",25300,Black,Petrol,28000,2007,FirstOwner,,
36189,"Hero Honda Splendor Plus","Chandigarh ",16500,BlackBlue,Petrol,35000,2011,SecondOwner,,
36190,"Hero Honda Splendor Plus","Chandigarh ",18000,Black,Petrol,34500,2012,FirstOwner,,
36191,"Royal Enfield Bullet 350","Chandigarh ",13000,Black,Petrol,90000,2012,FirstOwner,,
36192,"Honda Shine Self Drum Alloy","Chandigarh ",7600,Grey,Petrol,42899,2014,FirstOwner,,
36193,"Royal Enfield Classic 500","Chandigarh ",3500,Mehroon,Petrol,120000,2010,FirstOwner,,
36194,"Royal Enfield Bullet 350","Chandigarh ",9200,Black,Petrol,100000,2013,FirstOwner,,
36195,"Royal Enfield Bullet 350","Chandigarh ",25000,Black,Petrol,75000,1996,FirstOwner,,
36196,"TVS Apache RTR 160","Chandigarh ",61000,Black,Petrol,25000,2008,FirstOwner,,
36197,"Bajaj Pulsar 135","Delhi ",36626,Red,Petrol,23000,2010,FirstOwner,,
36198,"KTM Duke 200","Delhi ",9200,Black,Petrol,110000,2014,FirstOwner,,
36199,"Bajaj Caliber 115","Delhi ",60000,Blue,Petrol,14000,2003,FirstOwner,,
36200,"Bajaj Pulsar 150cc Dtsi","Delhi ",22000,Black,Petrol,24000,2007,FirstOwner,,
36201,"Bajaj Pulsar 150cc Dtsi","Delhi ",40000,Silver,Petrol,14500,2006,SecondOwner,,
36202,"Bajaj Platina 100 Alloy Wheel KS","Delhi ",19700,BlackAndRed,Petrol,24000,2010,SecondOwner,,
36203,"Bajaj Pulsar 135","Delhi ",65000,Red,Petrol,28000,2011,FirstOwner,,
36204,"Bajaj Pulsar 220F Dtsi","Delhi ",14000,RedNBlack,Petrol,50000,2012,FirstOwner,,
36205,"Bajaj Pulsar 180cc Dtsi","Delhi ",50000,RoyalBlue,Petrol,29999,2008,FirstOwner,,
36206,"Bajaj Pulsar 150cc Dtsi","Delhi ",43000,Black,Petrol,16000,2007,FirstOwner,,
36207,"Bajaj Pulsar 150cc Dtsi","Delhi ",70000,Blue,Petrol,12000,2003,SecondOwner,,
36208,"Bajaj Avenger 180","Delhi ",41000,MattlicGrey,Petrol,30000,2006,FirstOwner,,
36209,"Bajaj Pulsar 135","Delhi ",16000,Black,Petrol,59000,2014,FirstOwner,,
36210,"Bajaj Pulsar 200 SS","Delhi ",70000,Red,Petrol,34000,2009,SecondOwner,,
36211,"Bajaj Pulsar 150cc Dtsi","Delhi ",30000,Black,Petrol,58000,2013,FirstOwner,,
36212,"Bajaj Caliber 115","Delhi ",45000,Green,Petrol,9000,2002,FirstOwner,,
36213,"Hero Honda Karizma Zmr Pgm Fi","Delhi ",44000,Red,Petrol,39000,2010,SecondOwner,,
36214,"Hero Honda Passion Plus","Delhi ",63000,BlackAndSilver,Petrol,16000,2005,SecondOwner,,
36215,"Hero Honda Splendor Plus","Delhi ",35000,Black,Petrol,21999,2007,SecondOwner,,
36216,"Hero MotoCorp Passion Pro Self Drum Alloy","Delhi ",17000,Black,Petrol,39000,2013,FirstOwner,,
36217,"Hero Honda CBZ Disc","Delhi ",58000,Black,Petrol,15000,2002,FirstOwner,,
36218,"Hero Honda Cbz Xtreme Self Start","Delhi ",60000,Red,Petrol,21000,2010,SecondOwner,,
36219,"Hero Honda Glamour","Delhi ",45000,Black,Petrol,23000,2010,SecondOwner,,
36220,"Hero Honda Splendor Pro","Delhi ",32000,BlackAndSilver,Petrol,30000,2011,FirstOwner,,
36221,"Hero Honda Karizma Zmr Pgm Fi","Delhi ",37000,BlackNYellow,Petrol,34000,2010,SecondOwner,,
36222,"Hero Honda Cbz Xtreme Self Start","Delhi ",60000,Black,Petrol,16000,2006,FirstOwner,,
36223,"Hero Motocorp Passion Xpro Disc Self Cast","Delhi ",6500,Black,Petrol,55000,2014,FirstOwner,,
36224,"Hero Honda Splendor Plus","Delhi ",7350,Black,Petrol,38000,2013,FirstOwner,,
36225,"Hero Honda Splendor Pro","Delhi ",15000,BlackAndBlue,Petrol,39000,2012,FirstOwner,,
36226,"Hero Motocorp Ignitor 125 Disc","Delhi ",74,White,Petrol,50000,2015,FirstOwner,,
36227,"Honda Unicorn Spoke","Delhi ",60000,Silver,Petrol,14500,2005,FirstOwner,,
36228,"Royal Enfield Classic 350","Gurgaon ",10100,Silver,Petrol,80000,2011,FirstOwner,,
36229,"Royal Enfield Bullet Electra Twinspark","Delhi ",19250,Sliver,Petrol,84999,2010,SecondOwner,,
36230,"Royal Enfield Classic 350","Delhi ",38000,Mahroon,Petrol,90000,2011,FirstOwner,,
36231,"Royal Enfield Classic 500","Delhi ",16350,Mahroon,Petrol,110000,2011,FirstOwner,,
36232,"Royal Enfield Thunderbird 350","Delhi ",11000,Silver,Petrol,89000,2010,FirstOwner,,
36233,"Royal Enfield Classic Chrome","Delhi ",22000,Chrome,Petrol,140000,2012,FirstOwner,,
36234,"TVS Apache RTR 160","Delhi ",20000,Grey,Petrol,64000,2014,FirstOwner,,
36235,"TVS Star City Spoke","Delhi ",48000,BlackAndBlue,Petrol,15000,2007,FirstOwner,,
36236,"Hero Honda Karizma Zmr Pgm Fi","Delhi ",24000,White,Petrol,60000,2012,FirstOwner,,
36237,"Yamaha FZ S","Delhi ",11850,BlackNOrange,Petrol,48000,2013,FirstOwner,,
36238,"Mahindra Centuro NXT","Delhi ",8500,Black,Petrol,39000,2014,FirstOwner,,
36239,"Yamaha FZ S","Delhi ",26000,Red,Petrol,58000,2013,FirstOwner,,
36240,"Yamaha FZ FI Version 2.0","Delhi ",50000,Red,Petrol,31999,2009,ThirdOwner,,
36241,"Yamaha YZF R15 Version 2.0","Ghaziabad ",33000,Black,Petrol,44000,2008,FirstOwner,,
36242,"Yamaha YZF R15 Version 2.0","Delhi ",15000,GreenAndBlack,Petrol,74000,2014,FirstOwner,,
36243,"Yamaha Fazer Sport","Delhi ",12000,Red,Petrol,46000,2012,FirstOwner,,
36244,"Yamaha YZF R15","Delhi ",11000,WhiteNRed,Petrol,65000,2010,FirstOwner,,
36245,"Yamaha YZF R15 Version 2.0","Delhi ",8000,WhiteAndRed,Petrol,90000,2013,SecondOwner,,
36246,"Yamaha FZ FI Version 2.0","Delhi ",24000,GoldenAndWhite,Petrol,35000,2011,SecondOwner,,
36247,"Bajaj Pulsar 150cc Dtsi","Surat ",33000,Red,Petrol,20000,2007,FirstOwner,,
36248,"Bajaj Avenger 220","Surat ",9200,Black,Petrol,65000,2012,FirstOwner,,
36249,"Bajaj Pulsar 150cc Dtsi","Surat ",100000,Black,Petrol,12000,2003,SecondOwner,,
36250,"Bajaj Pulsar 150cc Dtsi","Surat ",60000,Black,Petrol,16000,2006,ThirdOwner,,
36251,"Hero Honda Cbz Xtreme Self Start","Surat ",8000,Black,Petrol,47000,2012,FirstOwner,,
36252,"Honda CB Dazzler Sports","Surat ",52000,Black,Petrol,39000,2010,FirstOwner,,
36253,"Bajaj Discover 100 T Drum","Alwar ",17000,Black,Petrol,37000,2013,FirstOwner,,
36254,"Bajaj Pulsar 150cc Dtsi","Gurgaon ",18000,Black,Petrol,18500,2007,SecondOwner,,
36255,"TVS Scooty Streak","Surat ",40000,White,Petrol,4999,1998,FirstOwner,,
36256,"Hero Honda Cd Deluxe","Gurgaon ",41000,Blue,Petrol,20000,2008,FirstOwner,,
36258,"Bajaj Pulsar 180cc Dtsi","Noida ",34000,Black,Petrol,25000,2010,SecondOwner,,
36259,"Royal Enfield Bullet Electra Twinspark","Gurgaon ",19000,Silver,Petrol,90000,2012,FirstOwner,,
36260,"Yamaha Fazer Fi Version 2.0","Gurgaon ",17000,RedAndGrey,Petrol,54000,2012,FirstOwner,,
36261,"Bajaj Pulsar 180cc Dtsi","Bangalore ",10000,Silvar,Petrol,37999,2007,FirstOwner,,
36262,"Bajaj Pulsar 150cc Dtsi","Bangalore ",61000,Black,Petrol,24999,2008,FirstOwner,,
36263,"Bajaj Caliber 115","Bangalore ",80000,Blue,Petrol,21000,2003,FirstOwner,,
36264,"Bajaj Pulsar 150cc Dtsi","Bangalore ",28468,Black,Petrol,40000,2009,FirstOwner,,
36265,"Bajaj Pulsar 180cc Dtsi","Bangalore ",35870,Black,Petrol,39999,2010,SecondOwner,,
36266,"Bajaj Pulsar 150cc Dtsi","Bangalore ",73000,Black,Petrol,21000,2006,SecondOwner,,
36267,"Bajaj Discover 125 STD","Bangalore ",32000,BlackNRed,Petrol,47000,2012,FirstOwner,,
36268,"Bajaj Pulsar 150cc Dtsi","Bangalore ",31000,Black,Petrol,55000,2013,FirstOwner,,
36269,"Bajaj Pulsar 150cc Dtsi","Gorakhpur ",60000,BlueAndWhite,Petrol,23000,2005,SecondOwner,,
36270,"Bajaj Discover 150 F Standard","Bangalore ",42000,BlackBlue,Petrol,29000,2012,FirstOwner,,
36271,"Bajaj Pulsar 150cc Dtsi","Bangalore ",29000,Black,Petrol,25000,2006,SecondOwner,,
36272,"Bajaj Pulsar 150cc Dtsi","Bangalore ",90000,Black,Petrol,27999,2007,FirstOwner,,
36273,"Bajaj Discover 125 STD","Bangalore ",7000,GrayWithBlueStika,Petrol,46000,2014,FirstOwner,,
36274,"Bajaj Avenger 220","Bangalore ",25000,Red,Petrol,76000,2013,FirstOwner,,
36275,"Bajaj Avenger 220","Mumbai ",7100,Blue,Petrol,60000,2013,FirstOwner,,
36276,"Bajaj Discover 125 M Drum","Bangalore ",50000,Blue,Petrol,37000,2013,FirstOwner,,
36277,"Bajaj Pulsar 150cc Dtsi","Bangalore ",52000,Red,Petrol,39000,2010,FirstOwner,,
36278,"Bajaj Avenger 220","Bangalore ",11500,Black,Petrol,69000,2013,SecondOwner,,
36279,"Bajaj Avenger 220","Bangalore ",15000,Black,Petrol,61500,2012,FirstOwner,,
36280,"Bajaj Pulsar 135","Bangalore ",27000,RedAndBlack,Petrol,40000,2012,FirstOwner,,
36281,"Bajaj Pulsar 135","Bangalore ",12500,Red,Petrol,39999,2012,SecondOwner,,
36282,"Hero Honda Passion Plus","Bangalore ",48000,PurpleAndBlack,Petrol,12499,2007,FirstOwner,,
36283,"Hero Honda Splendor Pro","Bangalore ",10000,Black,Petrol,44999,2012,SecondOwner,,
36284,"Hero Honda Splendor Super","Bangalore ",40000,Black,Petrol,24000,2006,FirstOwner,,
36285,"Hero Honda Splendor Plus","Bangalore ",60000,Gray,Petrol,29000,2006,SecondOwner,,
36286,"Hero Honda Hunk","Bangalore ",30000,Black,Petrol,49000,2011,FirstOwner,,
36287,"Hero Motocorp Ignitor 125 Disc","Bangalore ",23500,Red,Petrol,47999,2013,FirstOwner,,
36288,"Hero Honda Karizma Zmr Pgm Fi","Bangalore ",14000,Black,Petrol,80000,2014,FirstOwner,,
36289,"Hero Honda Splendor Pro","Bangalore ",38000,VioletAndBlack,Petrol,37000,2012,FirstOwner,,
36290,"Honda Unicorn Spoke","Bangalore ",30000,Black,Petrol,16999,2005,ThirdOwner,,
36291,"Honda Unicorn Alloy","Bangalore ",70000,Black,Petrol,24000,2005,SecondOwner,,
36292,"Hero Motocorp Passion Xpro Disc Self Cast","Bangalore ",15000,Red,Petrol,39999,2013,FirstOwner,,
36293,"Honda Unicorn Alloy","Bangalore ",38000,Silver,Petrol,37000,2009,SecondOwner,,
36294,"Honda CBR 250R Standard","Bangalore ",30000,BLACK,Petrol,130000,2012,FirstOwner,,
36295,"Suzuki Zeus 125xcd","Bangalore ",35000,Black,Petrol,16499,2007,FirstOwner,,
36296,"Suzuki Shogun STD","Bangalore ",25000,BlackAndRed,Petrol,25000,1998,FirstOwner,,
36297,"Suzuki Fiero STD","Bangalore ",30000,Black,Petrol,18000,2001,SecondOwner,,
36298,"Suzuki Fiero STD","Bangalore ",67000,Black,Petrol,32000,2002,FirstOwner,,
36299,"Suzuki Gixxer SF Standard","Bangalore ",6500,Blue,Petrol,69500,2014,FirstOwner,,
36300,"Mahindra Centuro NXT","Delhi ",6900,BlackAntiTheftAla,Petrol,42000,2014,FirstOwner,,
36301,"Royal Enfield Bullet 350","Bangalore ",45000,Red,Petrol,64000,2002,ThirdOwner,,
36302,"Royal Enfield Bullet Classic 350","Bangalore ",23000,Black,Petrol,120000,1990,SecondOwner,,
36303,"Royal Enfield Thunderbird 350","Bangalore ",52800,MetallicGreen,Petrol,73000,2009,SecondOwner,,
36304,"Royal Enfield Classic 350","Bangalore ",6000,Silver,Petrol,140000,2014,FirstOwner,,
36305,"Royal Enfield Bullet 350","Bangalore ",3400,Silver,Petrol,120000,2014,FirstOwner,,
36306,"TVS Victor 2015","Bangalore ",50000,Black,Petrol,15000,2006,SecondOwner,,
36307,"Tvs Star City","Bangalore ",49000,BLACKSilverGold,Petrol,21000,2007,FirstOwner,,
